no.,listed as,book,author,edition,year
400,"James Grote, Esq.",Letters,"Sancho, Ignatius",1,1782
401,Mr. Grote,Letters,"Sancho, Ignatius",1,1782
402,Mr. Wiliiam Garnham,Letters,"Sancho, Ignatius",1,1782
403,Mr. Gorton,Letters,"Sancho, Ignatius",1,1782
404,Mr. Gorst,Letters,"Sancho, Ignatius",1,1782
405,Mr. R. Gorst,Letters,"Sancho, Ignatius",1,1782
406,Mr. Gardener,Letters,"Sancho, Ignatius",1,1782
407,Mrs. Gills,Letters,"Sancho, Ignatius",1,1782
408,Miss Gilbert,Letters,"Sancho, Ignatius",1,1782
409,Mr. Grint,Letters,"Sancho, Ignatius",1,1782
