title_key,person_name,wikidata_id,start_year,end_year,source
earl of ailesbury,"Robert Bruce, 1st Earl of Ailesbury",Q1193416,1664,1685,wikidata
earl of ailesbury,"Thomas Bruce, 2nd Earl of Ailesbury",Q3524950,1685,1741,wikidata
earl of ailesbury,"Thomas Brudenell-Bruce, 1st Earl of Ailesbury",Q7611139,1776,,wikidata
earl of ashburnham,"George Ashburnham, 3rd Earl of Ashburnham",Q5536454,,,wikidata
earl of ashburnham,"John Ashburnham, 1st Earl of Ashburnham",Q6219555,,,wikidata
earl of ashburnham,"John Ashburnham, 2nd Earl of Ashburnham",Q6219558,,,wikidata
earl of aylesbury,,,,,
earl of belvedere,"Robert Rochfort, 1st Earl of Belvedere",Q27589850,1756,1774,wikidata
earl of bristol,"Frederick Hervey, 4th Earl of Bristol",Q1452908,,,wikidata
earl of bristol,"George Digby, 2nd Earl of Bristol",Q2342809,,,wikidata
earl of bristol,"Augustus Hervey, 3rd Earl of Bristol",Q4821448,,,wikidata
earl of bristol,"George Hervey, 2nd Earl of Bristol",Q5540566,,,wikidata
earl of bristol,"John Digby, 3rd Earl of Bristol",Q6229431,,,wikidata
earl of bristol,"John Hervey, 1st Earl of Bristol",Q6239112,1714,,wikidata
earl of bulwer esq.,,,,,
earl of carlisle,"Andrew Harclay, 1st Earl of Carlisle",Q1786825,,,wikidata
earl of carlisle,"George Howard, 7th Earl of Carlisle",Q2079517,,,wikidata
earl of carlisle,"George Howard, 6th Earl of Carlisle",Q335600,,,wikidata
earl of carlisle,Charles Howard,Q337615,,,wikidata
earl of carlisle,"Charles Howard, 3rd Earl of Carlisle",Q337634,,,wikidata
earl of carlisle,"Henry Howard, 4th Earl of Carlisle",Q337661,,,wikidata
earl of carlisle,"Edward Howard, 2nd Earl of Carlisle",Q337852,,,wikidata
earl of carlisle,"Charles Howard, 1st Earl of Carlisle",Q338284,,,wikidata
earl of carlisle,"George Howard, 11th Earl of Carlisle",Q3760533,,,wikidata
earl of carlisle,"James Hay, 2nd Earl of Carlisle",Q6135743,,,wikidata
earl of carlisle,"James Hay, 1st Earl of Carlisle",Q3023437,1632,1636,wikidata
earl of carlisle,"Frederick Howard, 5th Earl of Carlisle",Q2079507,1758,1825,wikidata
earl of carlisle,"William George Howard, 8th Earl of Carlisle",Q4020023,1864,1889,wikidata
earl of carlisle,"George Howard, 9th Earl of Carlisle",Q337630,1889,1911,wikidata
earl of carlisle,"Charles Howard, 12th Earl of Carlisle",Q3666417,1963,1994,wikidata
earl of chatham,Mary Elizabeth Townshend,Q75564998,,,wikidata
earl of chatham,"William Pitt, 1st Earl of Chatham",Q208663,1766,1778,wikidata
earl of chatham,"John Pitt, 2nd Earl of Chatham",Q335642,1778,1835,wikidata
earl of clermont,"William Fortescue, 1st Earl of Clermont",Q8009235,1777,1806,wikidata
earl of corke,,,,,
earl of dartmouth,"William Legge, 2nd Earl of Dartmouth",Q3568789,,,wikidata
earl of dartmouth,"George Legge, 3rd Earl of Dartmouth",Q5541651,,,wikidata
earl of dartmouth,"William Legge, 1st Earl of Dartmouth",Q9374853,,,wikidata
earl of derby,"William de Ferrers, 3rd Earl of Derby",Q1683480,,,wikidata
earl of derby,"Edward Smith-Stanley, 14th Earl of Derby",Q237829,,,wikidata
earl of derby,"Edward Stanley, 15th Earl of Derby",Q332789,,,wikidata
earl of derby,"William de Ferrers, 5th Earl of Derby",Q3405585,,,wikidata
earl of derby,"Thomas Stanley, 2nd Earl of Derby",Q4444793,,,wikidata
earl of derby,"Robert de Ferrers, 1st Earl of Derby",Q507086,,,wikidata
earl of derby,"William de Ferrers, 4th Earl of Derby",Q8020786,,,wikidata
earl of derby,"Robert de Ferrers, 6th Earl of Derby",Q3436643,1254,1266,wikidata
earl of derby,Henry IV of England,Q161866,1377,,wikidata
earl of derby,"Thomas Stanley, 1st Earl of Derby",Q335295,1485,1504,wikidata
earl of derby,"Edward Stanley, 3rd Earl of Derby",Q377029,1521,1572,wikidata
earl of derby,"Henry Stanley, 4th Earl of Derby",Q3007367,1572,1593,wikidata
earl of derby,"Ferdinando Stanley, 5th Earl of Derby",Q1337095,1593,1594,wikidata
earl of derby,"William Stanley, 6th Earl of Derby",Q2032636,1594,1642,wikidata
earl of derby,"James Stanley, 7th Earl of Derby",Q336721,1642,1651,wikidata
